SP,Site,Name,Latitude_deg,Longitude_deg,Elevation_m,Area_AZ_ha,Area_USAZ_ha,SubRegion
ME,KAT,Katahdin,45.9044,-68.9214,1606,1619.3,702.8,Baxter State Park
NH,PRE,Presidential Range,44.2705,-71.3033,1917,2771,1332.1,White Mountains
NH,FRA,Franconia Ridge,44.1607,-71.6444,1598,92.6,226.6,White Mountains
