site_id,zone,SP,SubRegion,Elevation_m,elevation_relative,az_size_class,median_peak_doy_1984,median_peak_doy_2024,low_peak_doy_1984,low_peak_doy_2024,high_peak_doy_1984,high_peak_doy_2024,median_peak_ndvi_1984,median_peak_ndvi_2024,low_peak_ndvi_1984,low_peak_ndvi_2024,high_peak_ndvi_1984,high_peak_ndvi_2024,median_seasonal_mean_ndvi_1984,median_seasonal_mean_ndvi_2024,low_seasonal_mean_ndvi_1984,low_seasonal_mean_ndvi_2024,high_seasonal_mean_ndvi_1984,high_seasonal_mean_ndvi_2024,peak_doy_change,peak_ndvi_change,seasonal_mean_ndvi_change,peak_doy_significant,peak_ndvi_significant,seasonal_mean_ndvi_significant
QC_PSA,AZ,QC,Monts McGerrigle,1147,24.384615384615472,Medium,206,205,201,197.475,213.52499999999998,212.52499999999998,0.34373738151328753,0.3729174100299454,0.3228804970175353,0.355281445468582,0.3818034464012119,0.3897953236061392,0.3019546680579391,0.33091619484908763,0.2868527968774556,0.31785818943760064,0.31897852414945643,0.34318847367277905,-1,0.029180028516657852,0.02896152679114855,FALSE,FALSE,FALSE
QC_PSA,USAZ,QC,Monts McGerrigle,1147,24.384615384615472,Medium,209,206,203,152,218,215,0.3800337164684535,0.38114993610808523,0.36414566297105516,0.3583420633411849,0.3962908854229243,0.4074947666050169,0.3416677406244441,0.3387981177097684,0.32995803163755355,0.3192809640407558,0.35132213263936574,0.3493745063743283,-3,0.0011162196396317103,-0.0028696229146756846,FALSE,FALSE,FALSE
QC_RIC,AZ,QC,Monts McGerrigle,1180,57.38461538461547,Small,221,215,206,188.7,257.3249999999997,252.09999999999962,0.27336328073239585,0.29040056236411294,0.2642491031808644,0.27360992068326107,0.28628646512526823,0.30547257356605734,0.2571813508799412,0.26967428460048626,0.246646268617977,0.2553161528561154,0.2674409856062867,0.28004818024236744,-6,0.017037281631717083,0.012492933720545052,FALSE,FALSE,FALSE
QC_RIC,USAZ,QC,Monts McGerrigle,1180,57.38461538461547,Small,218,211,202.95,152,238.04999999999998,223,0.3398732140983769,0.30260327869566095,0.3329402189210816,0.29228971141212,0.3607239441252178,0.31761383100904905,0.309143238254007,0.27807380039668583,0.29708868453329773,0.26604852769627774,0.32087663226824115,0.2907127681779055,-7,-0.03726993540271595,-0.03106943785732119,FALSE,TRUE,TRUE
QC_SOM,AZ,QC,Monts McGerrigle,1147,24.384615384615472,Medium,219,213,205,202.475,233.52499999999998,224.52499999999998,0.31667184448954816,0.3235889491913168,0.3100971256729572,0.31207367392003205,0.3313667319050352,0.33017627529098076,0.2892622966528335,0.2981497671272334,0.2751179473507229,0.28813137812716216,0.2996796459601748,0.3047510628117229,-6,0.0069171047017686504,0.008887470474399917,FALSE,FALSE,FALSE
QC_SOM,USAZ,QC,Monts McGerrigle,1147,24.384615384615472,Medium,212,208,203,152,224.575,219.52499999999998,0.3325508051373392,0.321155179575348,0.32265146721389504,0.3081039680734112,0.3482291961449212,0.3352162658547652,0.2997387681069331,0.2958813147071798,0.2874916063781061,0.2832986005603625,0.31257127091720743,0.30738699609607495,-4,-0.011395625561991196,-0.0038574533997532967,FALSE,FALSE,FALSE
QC_VIE,AZ,QC,Monts McGerrigle,1026,-96.61538461538451,Small,208.5,218,200,208,273,229,0.2519381421359507,0.2715741593609793,0.2402769882582842,0.2636849558801399,0.26220885417313955,0.280167454960623,0.238418120112994,0.2504939752051598,0.23242080284902158,0.24570505140259663,0.24559039687703996,0.2551392519465542,9.5,0.019636017225028557,0.012075855092165827,FALSE,TRUE,TRUE
QC_VIE,USAZ,QC,Monts McGerrigle,1026,-96.61538461538451,Small,214,216,204,205.95,253.0499999999996,228.52499999999998,0.3388144237234927,0.31417793736048466,0.3306774152380989,0.30464572388278965,0.3544781743913583,0.3265299982353469,0.31800061108266175,0.2901593021167337,0.3076372590059111,0.2822823064521217,0.32607486620788584,0.29975553809002126,2,-0.024636486363008026,-0.02784130896592807,FALSE,TRUE,TRUE
QC_XAL,AZ,QC,Monts McGerrigle,1140,17.384615384615472,Medium,219,214,209.475,205.47500000000002,236.52499999999998,222.52499999999998,0.2877701149059277,0.30016337193662523,0.27670628850748347,0.2896621863802794,0.30840491318377483,0.3080620993457347,0.2649350528611576,0.2800005671266734,0.25730065193738416,0.27276268048885444,0.27877017057275555,0.2845101122241007,-5,0.012393257030697546,0.015065514265515834,FALSE,FALSE,FALSE
QC_XAL,USAZ,QC,Monts McGerrigle,1140,17.384615384615472,Medium,213,212,207.475,201.475,234.04999999999998,220.04999999999998,0.3289536007227044,0.3191446667856589,0.3150187262312736,0.3076520513825564,0.33974640896628194,0.3292123911065751,0.29986649524973286,0.2963313498251182,0.2916603725574082,0.2875941377663309,0.3107606624204122,0.3034011961778375,-1,-0.009808933937045516,-0.0035351454246146385,FALSE,FALSE,FALSE
VT_CAM,AZ,VT,Green Mountains,1243,-48.5,Small,203,187,152,152,221.52499999999998,197.52499999999998,0.3007781317770942,0.3141511170670077,0.2805480797118731,0.3057357298994328,0.33201887516009243,0.3241432375503179,0.2732155116118987,0.28498657454571247,0.26081575419643865,0.27882613471400436,0.28669500670457904,0.29015856891913117,-16,0.013372985289913486,0.011771062933813747,FALSE,FALSE,FALSE
VT_CAM,USAZ,VT,Green Mountains,1243,-48.5,Small,205,185,181.9,152,220,194,0.34885706121842397,0.3515467400825192,0.3276881577843159,0.33184452049948754,0.3695520106667759,0.3712442332682506,0.31989544756605315,0.31259057771437815,0.30507225051189424,0.3005589022096373,0.3294171291300786,0.32123213851601884,-20,0.002689678864095213,-0.007304869851675,FALSE,FALSE,FALSE
VT_MAN,AZ,VT,Green Mountains,1340,48.5,Medium,194,190,152,152,226.04999999999998,199,0.3328105280708772,0.3413036448587522,0.3061413102721995,0.3252144871683439,0.38081370654133573,0.353456863280668,0.2994917473843157,0.30670073026223965,0.2853323448736138,0.29651451068641355,0.31645052830231746,0.31329230972802824,-4,0.00849311678787501,0.007208982877923931,FALSE,FALSE,FALSE
VT_MAN,USAZ,VT,Green Mountains,1340,48.5,Medium,194,184.5,152,152,218.09999999999997,195,0.39323958757605637,0.37168222484654456,0.35336012752971446,0.3592061165967362,0.48701253235211406,0.3828167171783665,0.34587850755982213,0.33206292451570174,0.31316257577614304,0.320591240770976,0.36690470671410813,0.3383456198682404,-9.5,-0.02155736272951181,-0.013815583044120394,FALSE,FALSE,FALSE
