site_id,zone,year,n_train,n_test,rmse,mae
ME_ABR,AZ,1984,102,1,0.014141052600114529,0.014141052600114529
ME_ABR,AZ,1985,99,4,0.0063057525159049155,0.004974079465884955
ME_ABR,AZ,1986,101,2,0.017131486965033867,0.012858964300633144
ME_ABR,AZ,1987,102,1,0.005622857655522229,0.005622857655522229
ME_ABR,AZ,1988,101,2,0.03395921309976182,0.029331114585323226
ME_ABR,AZ,1990,102,1,0.021016877920412486,0.021016877920412486
ME_ABR,AZ,1991,102,1,0.0060347574172121,0.0060347574172121
ME_ABR,AZ,1992,102,1,0.0022702659126712654,0.0022702659126712654
ME_ABR,AZ,1993,101,2,0.004092941320504906,0.004092137345151528
ME_ABR,AZ,1995,101,2,0.00856080674798773,0.006303023849739339
ME_ABR,AZ,1997,102,1,0.00451324582616533,0.00451324582616533
ME_ABR,AZ,1998,102,1,0.010573163376721928,0.010573163376721928
ME_ABR,AZ,1999,99,4,0.004406908180989273,0.0035686815656237464
ME_ABR,AZ,2000,101,2,0.007515941196344497,0.007128949355889591
ME_ABR,AZ,2001,99,4,0.009811788562417646,0.008205331299399432
ME_ABR,AZ,2002,99,4,0.0088728601815618,0.008478006425316695
ME_ABR,AZ,2003,100,3,0.01928336243072421,0.01801073557789562
ME_ABR,AZ,2004,101,2,0.005869441979206991,0.005403819564897494
ME_ABR,AZ,2005,98,5,0.008340548457685426,0.005814859033605529
ME_ABR,AZ,2006,102,1,0.012620380571318313,0.012620380571318313
ME_ABR,AZ,2007,101,2,0.0011801465419540294,0.0011796369242002142
ME_ABR,AZ,2008,99,4,0.004687447997162584,0.00430696763958615
ME_ABR,AZ,2009,96,7,0.008234129958718125,0.0063227364972024535
ME_ABR,AZ,2010,100,3,0.0058821072840737395,0.0051954073030802865
ME_ABR,AZ,2011,98,5,0.008402547909948873,0.0072843575295024054
ME_ABR,AZ,2012,99,4,0.006097248401740942,0.005503934814425938
ME_ABR,AZ,2013,99,4,0.008757332489285332,0.007164445578813405
ME_ABR,AZ,2014,101,2,0.0025131457092000594,0.0022103942268150018
ME_ABR,AZ,2015,98,5,0.008143765923171767,0.0067909048268111945
ME_ABR,AZ,2016,102,1,0.008210845266168054,0.008210845266168054
ME_ABR,AZ,2017,100,3,0.0024573458589130567,0.0018022860723155103
ME_ABR,AZ,2018,99,4,0.004492387220612628,0.00410803396580401
ME_ABR,AZ,2019,101,2,0.01361319801333879,0.00992849771238287
ME_ABR,AZ,2020,102,1,0.01615471982081504,0.01615471982081504
ME_ABR,AZ,2021,102,1,0.01286045677157191,0.01286045677157191
ME_ABR,AZ,2022,98,5,0.009166891939368238,0.007994667679893014
ME_ABR,AZ,2023,101,2,0.006282404320293551,0.006274050371523177
ME_ABR,AZ,2024,99,4,0.01706959297835104,0.01496282633578324
ME_ABR,USAZ,1984,106,1,0.028675917686590058,0.028675917686590058
ME_ABR,USAZ,1985,103,4,0.010048244340150137,0.009428850555603219
ME_ABR,USAZ,1986,105,2,0.020642006494821067,0.016879655554858403
ME_ABR,USAZ,1987,106,1,0.009368442933812449,0.009368442933812449
ME_ABR,USAZ,1988,105,2,0.026991854685401294,0.02369042148060066
ME_ABR,USAZ,1989,106,1,0.0025641840405629113,0.0025641840405629113
ME_ABR,USAZ,1990,106,1,0.01593208589054601,0.01593208589054601
ME_ABR,USAZ,1991,106,1,0.009726989489984517,0.009726989489984517
ME_ABR,USAZ,1992,106,1,7.158714121546783e-6,7.158714121546783e-6
ME_ABR,USAZ,1993,105,2,0.015200215408218101,0.0149261175158244
ME_ABR,USAZ,1995,105,2,0.008576785814059297,0.008528163373650588
ME_ABR,USAZ,1997,106,1,0.020438678777297825,0.020438678777297825
ME_ABR,USAZ,1998,106,1,0.019265659084112985,0.019265659084112985
ME_ABR,USAZ,1999,102,5,0.014746797512805337,0.012087013023030058
ME_ABR,USAZ,2000,105,2,0.0023134120927336506,0.002182061998114937
ME_ABR,USAZ,2001,103,4,0.015868621638769946,0.014614351129130967
ME_ABR,USAZ,2002,103,4,0.01834892485178234,0.01740384411082714
