month,zone,mean_pctvalid,median_pctvalid,n_obs
Jun,AZ,0.8694813983970081,0.9641429358624536,1034
Jun,USAZ,0.8575092666277973,0.923796449367103,1051
Jul,AZ,0.874168290270972,0.9789079948151926,1002
Jul,USAZ,0.8523919052111861,0.9085065136707592,1036
Aug,AZ,0.8882344890861557,0.9918711258909202,1268
Aug,USAZ,0.8644750857935635,0.9565167811101178,1287
Sep,AZ,0.8961135378221812,0.985839146782219,1672
Sep,USAZ,0.8767200283039308,0.9615743128817353,1710
